name,lat,lon,source,access
Escape Sheffield,53.382973,-1.467212,OSM only,customers
The Stags Head Play Area,53.366392,-1.490049,OSM only,customers
TopJump Inflatable Park,53.355019,-1.482491,OSM only,customers
"Unnamed playground nr Bents Crescent, Bents Green",53.350732,-1.528671,OSM unnamed,school
"Unnamed playground nr Derriman Drive, Ecclesall",53.34776,-1.509676,OSM unnamed,school
"Unnamed playground nr Drake House Way, Waterthorpe",53.344805,-1.353927,OSM unnamed,customers
"Unnamed playground nr Dyche Lane, Jordanthorpe",53.322829,-1.466356,OSM unnamed,school
"Unnamed playground nr Hathersage Road, Ecclesall",53.338035,-1.536719,OSM unnamed,private
"Unnamed playground nr Hendon Street, Handsworth",53.372841,-1.385562,OSM unnamed,school
"Unnamed playground nr Millhouses Lane, Millhouses",53.351267,-1.508744,OSM unnamed,school
"Unnamed playground nr Pack Horse Lane, High Green",53.474684,-1.484333,OSM unnamed,school
"Unnamed playground nr Pingle Road, Millhouses",53.347436,-1.508687,OSM unnamed,school
"Unnamed playground nr Pingle Road, Millhouses",53.347092,-1.509076,OSM unnamed,school
"Unnamed playground nr Solly Street, City Centre",53.384986,-1.473379,OSM unnamed,school
"Unnamed playground nr Wicker, Burngreave",53.38776,-1.461036,OSM unnamed,private
"Unnamed playground nr Woodthorpe Road, Woodthorpe",53.364487,-1.413828,OSM unnamed,school
