name,lat,lon,source,visited,date_visited,notes
Abbeyfield Park Playground,53.399253,-1.464749,Council,,,
Angram Bank Recreation Ground Playground,53.47044,-1.492354,Council,,,
Arbourthorne Pond Playground,53.358471,-1.441568,Council,,,
Archer Gate Open Space Playground,53.408302,-1.537228,Council,,,
Batemoor Road Open Space Playground,53.320438,-1.468215,Council,,,
Beaverhill Recreation Ground Playground,53.360289,-1.365332,Council,,,
Beechwood Road Open Space Playground,53.476369,-1.600684,Council,,,
Birley Spa Lane Playground,53.347359,-1.373965,Council,,,
Blackbrook Road Playground,53.369538,-1.559597,Council,,,
Bole Hill Recreation Ground Playground,53.390287,-1.508858,Council,,,
Bridle Stile Playground,53.325795,-1.369784,Council,,,
Brightside Recreation Ground Playground,53.41279,-1.423143,Council,,,
Broadfield Road Playground,53.357827,-1.48095,Council,,,
Burngreave Recreation Ground Playground,53.39557,-1.459548,Council,,,
Busk Meadow Park Playground,53.409972,-1.471175,Council,,,
Cardwell Drive Open Space Playground,53.361563,-1.385729,Council,,,
Cart Drive Open Space Playground,53.469468,-1.470255,Council,,,
Carterhall Recreation Ground Playground 1,53.339702,-1.418246,Council,,,
Carterhall Recreation Ground Playground 2,53.339172,-1.41692,Council,,,
Chancet Wood Open Space Playground,53.335164,-1.484129,Council,,,
Chapletown Park Playground,53.461364,-1.463254,Council,,,
Charlton Brook Playground,53.467244,-1.480146,Council,,,
Chelsea Park Playground,53.35944,-1.501456,Council,,,
Colley Park Playground,53.434107,-1.4722,Council,,,
Concord Park Playground,53.42423,-1.440798,Council,,,
Cookson Park Playground,53.416766,-1.488844,Council,,,
Coventry Road Playground,53.389369,-1.414306,Council,,,
Crookes Valley Park Playground,53.38444,-1.492797,Council,,,
Cross Lane Open Space Playground,53.484235,-1.616321,Council,,,
Darnall Community Park Playground,53.390655,-1.4216,Council,,,
Darnall Neighbourhood Park Playground,53.391648,-1.412291,Council,,,
Deep Pits Playground,53.367352,-1.429697,Council,,,
Deepcar Playing Fields Playground,53.478755,-1.568193,Council,,,
Deer Park Playground,53.393681,-1.529934,Council,,,
Denholme Close Recreation Ground Playground,53.391091,-1.465905,Council,,,
Dore Recreation Ground Playground,53.326892,-1.544902,Council,,,
Earl Marshall Recreation Ground Playground,53.403538,-1.453717,Council,,,
East Glade Way Playground,53.348247,-1.39541,Council,,,
Ecclesfield Park Playground,53.443179,-1.466202,Council,,,
Ecclesfield Road (Woolley W) Open Space Playground,53.424454,-1.419708,Council,,,
Edenthorpe Grove Playground,53.339508,-1.368769,Council,,,
Ellesmere Park Playground,53.395878,-1.454573,Council,,,
Endcliffe Park Playground,53.368555,-1.505598,Council,,,
Firth Park Playground,53.417354,-1.446596,Council,,,
Forge Dam Playground,53.360853,-1.545188,Council,,,
Fox Glen Recreation Ground Playground,53.476363,-1.577943,Council,,,
Foxhill Recreation Ground Playground,53.429327,-1.501007,Council,,,
Frecheville Pond Community Centre Playground,53.346847,-1.403771,Council,,,
Gleadless Common Playground,53.352407,-1.432184,Council,,,
Graves Park Cobnar Road Playground,53.338562,-1.480117,Council,,,
Graves Park Rose Garden Playground,53.337593,-1.467697,Council,,,
Green Oak Recreation Ground Playground,53.31365,-1.531504,Council,,,
Greenhill Park Playground,53.318907,-1.485774,Council,,,
Gregory Road Playground,53.359716,-1.468544,Council,,,
Grenoside Recreation Ground Playground,53.43914,-1.499416,Council,,,
Handsworth Recreation Ground Playground,53.37472,-1.386048,Council,,,
Headford Gardens Playground,53.377233,-1.481851,Council,,,
Heathlands Playground,53.321139,-1.341501,Council,,,
